codigo,descripcion,unidad,Saldoin-Cantidad,Saldoin-Valor,ent-Cantidad,ent-Valor,sal-Cantidad,sal-Valor,sadout-Cantidad,saldout-Valor,SUB-CATEGORIA,tipo,estado_mat,descripcion_material
06-26-23,ACERO  7062  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
06-26-24,KANTUTA  3018  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
06-26-25,NARANJA  1013  2/18,KILOS,0.0,0.0,211.0,211.0,211.0,211.0,0.0,0.0,2/18,HB,,
06-26-27,AZUL PETROLEO  7009  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-30,GALLETA  6010  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
06-26-32,KANTUTA  3045  2/18,KILOS,0.0,0.0,211.5,211.5,211.5,211.5,0.0,0.0,2/18,HB,,
06-26-33,VERDE BANDERA  4010  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
06-26-36,VERDE MEDIO  4029  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
06-26-37,FUCSIA  3009  2/18,KILOS,0.0,0.0,211.0,211.0,211.0,211.0,0.0,0.0,2/18,HB,,
06-26-40,MORADO  7044  2/18,KILOS,0.0,0.0,201.5,201.5,201.5,201.5,0.0,0.0,2/18,HB,,
06-26-41,BLANCO  0010  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
06-26-44,CALIPSO  7008  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-48,ROJO  3006  2/18,KILOS,0.0,0.0,198.5,198.5,198.5,198.5,0.0,0.0,2/18,HB,,
06-26-50,C. AMARILLO  6004  2/18,KILOS,0.0,0.0,214.5,214.5,214.5,214.5,0.0,0.0,2/18,HB,,
06-26-51,KANTUTA  3045  2/18,KILOS,0.0,0.0,201.0,201.0,201.0,201.0,0.0,0.0,2/18,HB,,
06-26-52,BEIGE OSC.  6021  2/18,KILOS,0.0,0.0,214.0,214.0,214.0,214.0,0.0,0.0,2/18,HB,,
06-26-53,AMARILLO ORO  0016  2/18,KILOS,0.0,0.0,200.5,200.5,200.5,200.5,0.0,0.0,2/18,HB,,
06-26-57,BLANCO  0010  2/18,KILOS,0.0,0.0,198.0,198.0,198.0,198.0,0.0,0.0,2/18,HB,,
06-26-60,CAFE ROJISO  6013  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-62,VERDE BOTELLA  4057  2/18,KILOS,0.0,0.0,202.0,202.0,202.0,202.0,0.0,0.0,2/18,HB,,
06-26-64,KANTUTA  3018  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-66,GUINDO  3033  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
06-26-69,SANDIA  3023  2/18,KILOS,0.0,0.0,202.5,202.5,202.5,202.5,0.0,0.0,2/18,HB,,
